Chemin,Nom,Type,Lien
,Major appliances_大家电,Dossier (racine),https://drive.google.com/drive/folders/1cqmsafAzk8n-IIrj0puKGTm6-nWNMoHq
Major appliances_大家电,Monitor_显示器,Dossier,https://drive.google.com/drive/folders/1IBq67oOi989u1ZMFJxFXH-mQAy-PL-o5
Major appliances_大家电/Monitor_显示器,TDL2510AB_27X1 pro-Q Monitor,Dossier,https://drive.google.com/drive/folders/1KEQtGqqcuqIIXqoiU9r0T352kbTawCt8
Major appliances_大家电/Monitor_显示器/TDL2510AB_27X1 pro-Q Monitor,TDL2510AB_27X1 pro-Q Monitor BOM list 20260601.xlsx,Fichier,https://docs.google.com/spreadsheets/d/1t325aKDEz8JGbPKEYLuC8s-T_nXM6Y_Y/edit?usp=drivesdk&ouid=113602059352758727903&rtpof=true&sd=true
Major appliances_大家电/Monitor_显示器/TDL2510AB_27X1 pro-Q Monitor,27X1Q Pro_MG27H31QV2维修手册V01.pdf,Fichier,https://drive.google.com/file/d/1lFjikjZ33WjGcCe3fHVT-mfsmZioDCBP/view?usp=drivesdk
Major appliances_大家电/Monitor_显示器,TDL2517AB_X1 Ultra 40 Monitor,Dossier,https://drive.google.com/drive/folders/1m-KD5iNdedzMLMNwm5a7fjCVo-fsuX1_
Major appliances_大家电/Monitor_显示器/TDL2517AB_X1 Ultra 40 Monitor,TDL2517AB_X1 Ultra 40 Monitor service bom list 20260509.xlsx,Fichier,https://docs.google.com/spreadsheets/d/1Lg1XH2CeL7cT72FjsUZA-A89rPiwkICF/edit?usp=drivesdk&ouid=113602059352758727903&rtpof=true&sd=true
Major appliances_大家电/Monitor_显示器/TDL2517AB_X1 Ultra 40 Monitor,DREAME Monitor service level_追觅显示器维修等级.xlsx,Fichier,https://docs.google.com/spreadsheets/d/13N3n5wZb5G9p5XZLw0BjDPbHY2-8o9D-/edit?usp=drivesdk&ouid=113602059352758727903&rtpof=true&sd=true
Major appliances_大家电/Monitor_显示器/TDL2517AB_X1 Ultra 40 Monitor,X1 Ultra Monitor introduction.pptx,Fichier,https://docs.google.com/presentation/d/15NqfvVPOcxhsbQ-5w9pfUuuZxeORA1eh/edit?usp=drivesdk&ouid=113602059352758727903&rtpof=true&sd=true
Major appliances_大家电/Monitor_显示器/TDL2517AB_X1 Ultra 40 Monitor,Dreame MNT Product  40X1 Ultra spec，20260427.xlsx,Fichier,https://docs.google.com/spreadsheets/d/1vQiJXnI2HmjTFa731c4P18C55cRQnM0S/edit?usp=drivesdk&ouid=113602059352758727903&rtpof=true&sd=true
Major appliances_大家电/Monitor_显示器/TDL2517AB_X1 Ultra 40 Monitor,40X1WU Ultra user manual EN+FR.pdf,Fichier,https://drive.google.com/file/d/1r8gQWlw2Q_H1KpfmxSHNInls1r1Vr_HD/view?usp=drivesdk
